distance	length	replicate	cluster2	score2	fn2	cluster3	score3	fn3	cluster	score	fn
1X	1000	9	21771	0.673063182	0.0222	21477	0.672987584	0.0444	-0.013504203	-0.00011 	0.0222
1X	1500	10	20073	0.682622577	0.0444	19805	0.682622577	0.0444	-0.013351268	0.00000 	0
1X	1500	11	19701	0.688284366	0.0667	19443	0.688284366	0.0667	-0.013095782	0.00000 	0
1X	1500	12	19727	0.687241587	0.0889	19521	0.687241587	0.0889	-0.010442541	0.00000 	0
1X	1500	13	19905	0.686246403	0	19627	0.686246403	0	-0.01396634	0.00000 	0
1X	1500	14	19497	0.690150442	0.0222	19225	0.690150442	0.0222	-0.013950864	0.00000 	0
1X	1500	15	19403	0.688969827	0.0889	19161	0.688969827	0.0889	-0.012472298	0.00000 	0
1X	1500	16	19121	0.692421066	0.0444	18937	0.692276704	0.0444	-0.009622928	-0.00021 	0
1X	1500	17	20011	0.684972546	0.0444	19721	0.684972546	0.0667	-0.014492029	0.00000 	0.0223
1X	1500	18	19851	0.683892106	0.0889	19631	0.683860782	0.0889	-0.011082565	-0.00005 	0
1X	1500	19	19559	0.688259564	0	19295	0.688259564	0.0444	-0.013497623	0.00000 	0.0444
1X	1500	1	19877	0.682525162	0.0222	19633	0.682525162	0.0222	-0.012275494	0.00000 	0
1X	1500	20	19711	0.683519216	0.0444	19465	0.683519216	0.0667	-0.012480341	0.00000 	0.0223
1X	1500	2	19837	0.687675095	0.0667	19545	0.687196459	0.0667	-0.014719968	-0.00070 	0
1X	1500	3	19833	0.68312713	0.0444	19607	0.68312713	0.0444	-0.011395149	0.00000 	0
1X	1500	4	19759	0.687279921	0.0667	19499	0.687279921	0.0667	-0.013158561	0.00000 	0
1X	1500	5	19765	0.686110196	0.0444	19517	0.686110196	0.0444	-0.012547432	0.00000 	0
1X	1500	6	19653	0.684096952	0.0222	19495	0.684096952	0.0222	-0.008039485	0.00000 	0
1X	1500	7	20207	0.682435924	0.0889	19943	0.682435924	0.0889	-0.01306478	0.00000 	0
1X	1500	8	19813	0.684181766	0	19587	0.684181766	0	-0.011406652	0.00000 	0
1X	1500	9	19961	0.683730435	0.0222	19651	0.683730435	0.0222	-0.015530284	0.00000 	0
1X	250	10	36217	0.562528574	0.1111	35189	0.562528574	0.1111	-0.02838446	0.00000 	0
1X	250	11	35825	0.562073337	0.1111	34931	0.562073337	0.1111	-0.024954641	0.00000 	0
1X	250	12	35719	0.563229037	0.1111	34803	0.563220367	0.1111	-0.025644615	-0.00002 	0
1X	250	13	35787	0.56200645	0.2444	34785	0.561976467	0.2444	-0.027998994	-0.00005 	0
1X	250	14	36205	0.562870624	0.1333	35273	0.562854553	0.0889	-0.025742301	-0.00003 	-0.0444
