1X	1000	1000	7	ori	0.088888889						
1X	1000	1000	7	t0	0.088888889						
1X	1000	1000	7	t10	0.088888889						
1X	1000	1000	7	t20	0.088888889						
1X	1000	1000	7	t3	0.088888889						
1X	1000	1000	7	t33	0.111111111						
1X	1000	1000	7	t5	0.088888889						
1X	1000	1000	7	t50	0.133333333						
1X	1000	1000	7	t7	0.066666667						
1X	1000	1000	7	t75	0.177777778						
1X	1000	1000	8	ori	0						
1X	1000	1000	8	t0	0						
1X	1000	1000	8	t10	0						
1X	1000	1000	8	t20	0						
1X	1000	1000	8	t3	0.022222222						
1X	1000	1000	8	t33	0.088888889						
1X	1000	1000	8	t5	0						
1X	1000	1000	8	t50	0.088888889						
1X	1000	1000	8	t7	0						
1X	1000	1000	8	t75	0.111111111						
1X	1000	1000	9	ori	0.044444444						
1X	1000	1000	9	t0	0.044444444						
1X	1000	1000	9	t10	0.022222222						
1X	1000	1000	9	t20	0.044444444						
1X	1000	1000	9	t3	0.022222222						
1X	1000	1000	9	t33	0.066666667						
1X	1000	1000	9	t5	0.022222222						
1X	1000	1000	9	t50	0.044444444						
1X	1000	1000	9	t7	0.022222222						
1X	1000	1000	9	t75	0.111111111						
1X	1000	1500	1	ori	0.044444444						
1X	1000	1500	1	t0	0.044444444						
1X	1000	1500	1	t10	0.044444444						
1X	1000	1500	1	t20	0.044444444						
1X	1000	1500	1	t3	0.044444444						
1X	1000	1500	1	t33	0.044444444						
1X	1000	1500	1	t5	0.022222222						
1X	1000	1500	1	t50	0.044444444						
1X	1000	1500	1	t7	0.022222222						
1X	1000	1500	1	t75	0.155555556						
1X	1000	1500	10	ori	0.066666667						
1X	1000	1500	10	t0	0.066666667						
1X	1000	1500	10	t10	0.044444444						
1X	1000	1500	10	t20	0.044444444						
1X	1000	1500	10	t3	0.044444444						
1X	1000	1500	10	t33	0.044444444						
1X	1000	1500	10	t5	0.044444444						
1X	1000	1500	10	t50	0.022222222						
1X	1000	1500	10	t7	0.044444444						
1X	1000	1500	10	t75	0.066666667						
1X	1000	1500	11	ori	0.088888889						
1X	1000	1500	11	t0	0.088888889						
1X	1000	1500	11	t10	0.088888889						
1X	1000	1500	11	t20	0.088888889						
1X	1000	1500	11	t3	0.088888889						
1X	1000	1500	11	t33	0.088888889						
1X	1000	1500	11	t5	0.088888889						
1X	1000	1500	11	t50	0.088888889						
1X	1000	1500	11	t7	0.088888889						
1X	1000	1500	11	t75	0.111111111						
1X	1000	1500	12	ori	0						
1X	1000	1500	12	t0	0.022222222						
1X	1000	1500	12	t10	0.066666667						
1X	1000	1500	12	t20	0.088888889						
1X	1000	1500	12	t3	0						
1X	1000	1500	12	t33	0.044444444						
1X	1000	1500	12	t5	0.066666667						
1X	1000	1500	12	t50	0.066666667						
1X	1000	1500	12	t7	0.066666667						
1X	1000	1500	12	t75	0.133333333						
1X	1000	1500	13	ori	0.022222222						
1X	1000	1500	13	t0	0.022222222						
1X	1000	1500	13	t10	0						
1X	1000	1500	13	t20	0.022222222						
1X	1000	1500	13	t3	0						
1X	1000	1500	13	t33	0						
1X	1000	1500	13	t5	0						
1X	1000	1500	13	t50	0.066666667						
1X	1000	1500	13	t7	0						
1X	1000	1500	13	t75	0.111111111						
1X	1000	1500	14	ori	0.088888889						
1X	1000	1500	14	t0	0.088888889						
1X	1000	1500	14	t10	0.066666667						
1X	1000	1500	14	t20	0.066666667						
1X	1000	1500	14	t3	0.088888889						
1X	1000	1500	14	t33	0.066666667						
1X	1000	1500	14	t5	0.088888889						
1X	1000	1500	14	t50	0.088888889						
1X	1000	1500	14	t7	0.066666667						
1X	1000	1500	14	t75	0.044444444						
1X	1000	1500	15	ori	0.044444444						
1X	1000	1500	15	t0	0.044444444						
1X	1000	1500	15	t10	0.044444444						
1X	1000	1500	15	t20	0.044444444						
1X	1000	1500	15	t3	0.044444444						
1X	1000	1500	15	t33	0.044444444						
1X	1000	1500	15	t5	0.044444444						
1X	1000	1500	15	t50	0.111111111						
1X	1000	1500	15	t7	0.044444444						
1X	1000	1500	15	t75	0.133333333						
1X	1000	1500	16	ori	0.066666667						
1X	1000	1500	16	t0	0.044444444						
1X	1000	1500	16	t10	0.066666667						
1X	1000	1500	16	t20	0.022222222						
1X	1000	1500	16	t3	0.044444444						
1X	1000	1500	16	t33	0.022222222						
1X	1000	1500	16	t5	0.066666667						
