163 ASTRALII non 500 160 24 .15
163 ASTRALII non 2000 160 13 .0813
164 ASTRALII non 1000 121 8 .0661
164 ASTRALII non 500 121 6 .0496
164 ASTRALII non 2000 121 6 .0496
165 ASTRALII non 1000 156 4 .0256
165 ASTRALII non 500 156 3 .0192
165 ASTRALII non 2000 156 4 .0256
166 ASTRALII non 1000 164 12 .0732
166 ASTRALII non 500 164 14 .0854
166 ASTRALII non 2000 164 13 .0793
167 ASTRALII non 1000 195 5 .0256
167 ASTRALII non 500 195 9 .0462
167 ASTRALII non 2000 195 4 .0205
168 ASTRALII non 1000 71 2 .0282
168 ASTRALII non 500 71 2 .0282
168 ASTRALII non 2000 71 1 .0141
169 ASTRALII non 1000 188 2 .0106
169 ASTRALII non 500 188 3 .016
169 ASTRALII non 2000 188 1 .0053
170 ASTRALII non 1000 77 2 .026
170 ASTRALII non 500 77 2 .026
170 ASTRALII non 2000 77 2 .026
171 ASTRALII non 1000 78 3 .0385
171 ASTRALII non 500 78 5 .0641
171 ASTRALII non 2000 78 2 .0256
172 ASTRALII non 1000 163 2 .0123
172 ASTRALII non 500 163 7 .0429
172 ASTRALII non 2000 163 5 .0307
173 ASTRALII non 1000 118 5 .0424
173 ASTRALII non 500 118 5 .0424
173 ASTRALII non 2000 118 4 .0339
174 ASTRALII non 1000 113 4 .0354
174 ASTRALII non 500 113 4 .0354
174 ASTRALII non 2000 113 5 .0442
175 ASTRALII non 1000 69 2 .029
175 ASTRALII non 500 69 8 .1159
175 ASTRALII non 2000 69 2 .029
176 ASTRALII non 1000 145 8 .0552
176 ASTRALII non 500 145 9 .0621
176 ASTRALII non 2000 145 7 .0483
177 ASTRALII non 1000 53 11 .2075
177 ASTRALII non 500 53 12 .2264
177 ASTRALII non 2000 53 9 .1698
178 ASTRALII non 1000 87 5 .0575
178 ASTRALII non 500 87 1 .0115
178 ASTRALII non 2000 87 3 .0345
179 ASTRALII non 1000 51 1 .0196
179 ASTRALII non 500 51 1 .0196
179 ASTRALII non 2000 51 0 0
180 ASTRALII non 1000 64 1 .0156
180 ASTRALII non 500 64 2 .0312
180 ASTRALII non 2000 64 1 .0156
181 ASTRALII non 1000 50 5 .1
181 ASTRALII non 500 50 5 .1
181 ASTRALII non 2000 50 4 .08
182 ASTRALII non 1000 88 3 .0341
182 ASTRALII non 500 88 3 .0341
182 ASTRALII non 2000 88 2 .0227
183 ASTRALII non 1000 119 2 .0168
183 ASTRALII non 500 119 3 .0252
183 ASTRALII non 2000 119 2 .0168
184 ASTRALII non 1000 121 48 .3967
184 ASTRALII non 500 121 49 .405
184 ASTRALII non 2000 121 49 .405
185 ASTRALII non 1000 55 1 .0182
185 ASTRALII non 500 55 0 0
185 ASTRALII non 2000 55 1 .0182
186 ASTRALII non 1000 150 11 .0733
186 ASTRALII non 500 150 9 .06
186 ASTRALII non 2000 150 11 .0733
187 ASTRALII non 1000 98 12 .1224
187 ASTRALII non 500 98 12 .1224
187 ASTRALII non 2000 98 12 .1224
188 ASTRALII non 1000 109 2 .0183
188 ASTRALII non 500 109 3 .0275
188 ASTRALII non 2000 109 1 .0092
189 ASTRALII non 1000 53 1 .0189
189 ASTRALII non 500 53 1 .0189
189 ASTRALII non 2000 53 1 .0189
190 ASTRALII non 1000 104 11 .1058
190 ASTRALII non 500 104 11 .1058
190 ASTRALII non 2000 104 10 .0962
191 ASTRALII non 1000 149 48 .3221
191 ASTRALII non 500 149 46 .3087
191 ASTRALII non 2000 149 50 .3356
192 ASTRALII non 1000 140 3 .0214
192 ASTRALII non 500 140 3 .0214
192 ASTRALII non 2000 140 2 .0143
193 ASTRALII non 1000 179 18 .1006
193 ASTRALII non 500 179 29 .162
193 ASTRALII non 2000 179 13 .0726
194 ASTRALII non 1000 146 16 .1096
194 ASTRALII non 500 146 19 .1301
194 ASTRALII non 2000 146 16 .1096
195 ASTRALII non 1000 133 4 .0301
195 ASTRALII non 500 133 4 .0301
195 ASTRALII non 2000 133 1 .0075
196 ASTRALII non 1000 161 12 .0745
196 ASTRALII non 500 161 13 .0807
196 ASTRALII non 2000 161 12 .0745
197 ASTRALII non 1000 74 2 .027
197 ASTRALII non 500 74 1 .0135
197 ASTRALII non 2000 74 2 .027
198 ASTRALII non 1000 100 3 .03
198 ASTRALII non 500 100 3 .03
198 ASTRALII non 2000 100 3 .03
199 ASTRALII non 1000 120 1 .0083
199 ASTRALII non 500 120 1 .0083
199 ASTRALII non 2000 120 2 .0167
200 ASTRALII non 1000 115 0 0
200 ASTRALII non 500 115 2 .0174
200 ASTRALII non 2000 115 1 .0087
201 ASTRALII non 1000 150 3 .02
201 ASTRALII non 500 150 3 .02
201 ASTRALII non 2000 150 2 .0133
202 ASTRALII non 1000 138 0 0
202 ASTRALII non 500 138 1 .0072
202 ASTRALII non 2000 138 1 .0072
