V4 V2.x V3.x V5.x V6.x V7.x V2.y V3.y V5.y V6.y V7.y 
32 1000 ASTRALIII non 132 4 0.0303 ASTRALII non 132 4 0.0303
32 200 ASTRALIII non 132 9 0.0682 ASTRALII non 132 9 0.0682
32 2000 ASTRALIII non 132 5 0.0379 ASTRALII non 132 5 0.0379
32 50 ASTRALIII non 132 11 0.0833 ASTRALII non 132 11 0.0833
32 500 ASTRALIII non 132 5 0.0379 ASTRALII non 132 5 0.0379
33 1000 ASTRALIII non 59 1 0.0169 ASTRALII non 59 1 0.0169
33 200 ASTRALIII non 59 2 0.0339 ASTRALII non 59 2 0.0339
33 2000 ASTRALIII non 59 0 0 ASTRALII non 59 0 0
33 50 ASTRALIII non 59 2 0.0339 ASTRALII non 59 2 0.0339
33 500 ASTRALIII non 59 1 0.0169 ASTRALII non 59 1 0.0169
34 1000 ASTRALIII non 54 1 0.0185 ASTRALII non 54 1 0.0185
34 200 ASTRALIII non 54 1 0.0185 ASTRALII non 54 1 0.0185
34 2000 ASTRALIII non 54 2 0.037 ASTRALII non 54 2 0.037
34 50 ASTRALIII non 54 1 0.0185 ASTRALII non 54 1 0.0185
